Agro-ecological zones,Administrative areas,Agricultural practices,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Length of the cropping cycle,cropping cycle(months),Harvesting period - onset,Harvesting period - end,Min Temp,Max Temp,Min_Rain,Max_Rain,Min_Rain_Growing,Max_Rain_Growing
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,Second season,01/10,31/10,5,kg/ha,70-90 days,3.0,15/01,31/01,30.0,34.0,250.0,900.0,450.0,650.0
Lowerland zone 5 (L5),"Coast province, Kitui (IL5), Lower Kitui (IL5), Lower Meru (IL5)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,,01/04,31/03,5,kg/ha,70-90 days,3.0,15/01,31/01,30.0,34.0,250.0,900.0,450.0,650.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",,01/08,31/08,10-15,kg/ha,75-110 days,4.0,01/11,15/12,28.0,30.0,350.0,650.0,,
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,First season,01/03,31/03,10-15,kg/ha,75-110 days,4.0,01/06,30/06,28.0,30.0,350.0,650.0,,
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,Second season,01/09,15/10,10-15,kg/ha,75-110 days,4.0,15/11,31/01,28.0,30.0,350.0,650.0,,
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",First season,15/03,31/03,10-15,kg/ha,75-110 days,4.0,15/06,15/07,28.0,30.0,350.0,650.0,,
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",Second season,15/10,31/10,10-15,kg/ha,75-110 days,4.0,01/01,15/02,28.0,30.0,350.0,650.0,,
Lower midland zone 5 (LM5),"Eastern province (Embu, Meru, Machakos, KItui), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Samburu, Kajiado), Taita Taveta","Millet, Cowpeas and grams growing fair. Fair sisal farming climatic condition. Livestock grazing at low density.",First season,15/03,31/03,10-15,kg/ha,75-110 days,4.0,15/06,30/06,28.0,30.0,350.0,650.0,,
Lower midland zone 5 (LM5),"Eastern province (Embu, Meru, Machakos, KItui), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Samburu, Kajiado), Taita Taveta","Millet, Cowpeas and grams growing fair. Fair sisal farming climatic condition. Livestock grazing at low density.",Second season,15/10,31/10,10-15,kg/ha,75-110 days,4.0,01/01,31/01,28.0,30.0,350.0,650.0,,
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",First season,01/04,31/03,10-15,kg/ha,75-110 days,4.0,15/06,31/07,28.0,30.0,350.0,650.0,,
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",Second season,15/06,30/09,10-15,kg/ha,75-110 days,4.0,01/09,31/01,28.0,30.0,350.0,650.0,,
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,First season,15/03,31/03,10-15,kg/ha,75-110 days,4.0,15/06,30/06,28.0,30.0,350.0,650.0,,
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,Second season,01/10,15/10,10-15,kg/ha,75-110 days,4.0,01/01,31/01,28.0,30.0,350.0,650.0,,
Lowerland zone 5 (L5),"Coast province, Kitui (IL5), Lower Kitui (IL5), Lower Meru (IL5)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,First season,01/04,31/03,10-15,kg/ha,75-110 days,4.0,15/06,31/07,28.0,30.0,350.0,650.0,,
Lowerland zone 5 (L5),"Coast province, Kitui (IL5), Lower Kitui (IL5), Lower Meru (IL5)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,Second season,15/10,31/10,10-15,kg/ha,75-110 days,4.0,01/01,31/01,28.0,30.0,350.0,650.0,,
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",First season,15/03,31/03,3,kg/ha,150-180 days,6.0,15/08,30/09,15.0,30.0,500.0,700.0,350.0,550.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",Second season,01/08,15/10,3,kg/ha,150-180 days,6.0,01/02,15/04,15.0,30.0,500.0,700.0,350.0,550.0
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",,01/09,15/09,3,kg/ha,150-180 days,6.0,01/02,15/03,15.0,30.0,500.0,700.0,350.0,550.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",First season,15/02,28/02,3,kg/ha,150-180 days,6.0,15/07,15/09,15.0,30.0,500.0,700.0,350.0,550.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",Second season,01/08,15/08,3,kg/ha,150-180 days,6.0,01/01,15/02,15.0,30.0,500.0,700.0,350.0,550.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,,01/03,15/03,3,kg/ha,150-180 days,6.0,01/07,15/09,15.0,30.0,500.0,700.0,350.0,550.0
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",,15/10,31/10,3,kg/ha,150-180 days,6.0,15/03,30/04,15.0,30.0,500.0,700.0,350.0,550.0
Lowerland zone 2 (L2) / Inner lowland (IL2),Kwale.,"Sugarcane, cassava, rice, maize and coconut farming.",,01/04,31/03,3,kg/ha,150-180 days,6.0,01/09,15/10,15.0,30.0,500.0,700.0,350.0,550.0
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",,01/04,31/03,3,kg/ha,150-180 days,6.0,01/09,15/10,15.0,30.0,500.0,700.0,350.0,550.0
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,,15/03,31/03,3,kg/ha,150-180 days,6.0,15/08,30/09,15.0,30.0,500.0,700.0,350.0,550.0
